Lat,Long,Road_Name,Road_Type,Address_Type,Category,assets
12.87899,80.080324,"Grand Southern Trunk Road, Vandalur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603210, India",pharmacy,amenity,amenity,mandatory signs
12.873922,80.078184,"Grand Southern Trunk Road, Urapakkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603210, India",trunk,road,highway,mandatory signs
12.86711,80.075508,"Grand Southern Trunk Road, Urapakkam, Chengalpattu, Chengalpattu District, Tamil Nadu, 603210, India",trunk,road,highway,mandatory signs
12.855921,80.069229,"Grand Southern Trunk Road, Urapakkam, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603211, India",trunk,road,highway,traffic lights
12.852359,80.066607,"Mahalakshmi Nagar Main Road, Urapakkam, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",residential,road,highway,traffic lights
12.849964,80.064909,"Grand Southern Trunk Road, Urapakkam, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603211, India",trunk,road,highway,street light
12.845798,80.061731,"Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",residential,road,highway,warning signs
12.841731,80.057609,"Grand Southern Trunk Road, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",trunk,road,highway,information signs
12.831583,80.046907,"Grand Southern Trunk Road, Guduvancheri, Chengalpattu, Chengalpattu District, Tamil Nadu, 603202, India",trunk,road,highway,traffic lights
12.822942,80.038928,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,street light
12.820537,80.037237,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
12.818145,80.035529,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
12.815835,80.033858,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,mandatory signs
12.814768,80.033094,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
12.803876,80.026072,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,warning signs
12.803876,80.026072,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,mandatory signs
12.801438,80.02447,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
12.800221,80.023653,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
12.797784,80.022085,"Grand Southern Trunk Road, Maraimalai Nagar Industrial Area, Kattangulathur, Chengalpattu, Chengalpattu District, Tamil Nadu, 603203, India",trunk,road,highway,information signs
